Making model...
Preparing loss function:
1.000 * MSE
[Epoch 1]	Learning rate: 1.00e-4
[720/8000]	[MSE: 64.4175]	53.8+2.0s
[760/8000]	[MSE: 64.1022]	53.8+2.0s
[800/8000]	[MSE: 65.3602]	53.8+2.0s
[840/8000]	[MSE: 66.1215]	53.8+2.0s
[880/8000]	[MSE: 66.1461]	53.8+2.0s
[920/8000]	[MSE: 67.6617]	53.8+2.0s
[960/8000]	[MSE: 67.9323]	53.8+2.0s
[1000/8000]	[MSE: 68.4847]	53.8+2.0s
[1040/8000]	[MSE: 68.8856]	53.8+2.0s
[1080/8000]	[MSE: 69.7181]	53.8+2.0s
[1120/8000]	[MSE: 70.6605]	53.8+2.0s
[1160/8000]	[MSE: 71.0268]	53.9+2.0s
[1200/8000]	[MSE: 71.1389]	53.8+2.0s
[1240/8000]	[MSE: 70.7244]	53.8+2.0s
[1280/8000]	[MSE: 70.4460]	53.8+2.0s
[1320/8000]	[MSE: 70.2529]	53.8+2.0s
[1360/8000]	[MSE: 69.4277]	53.8+2.0s
[1400/8000]	[MSE: 69.1608]	53.8+2.0s
[1440/8000]	[MSE: 68.5700]	53.8+2.0s
[1480/8000]	[MSE: 68.6061]	53.8+2.0s
[1520/8000]	[MSE: 69.2476]	53.8+2.0s
[1560/8000]	[MSE: 68.6823]	53.7+2.0s
[1600/8000]	[MSE: 68.6149]	53.8+2.0s
[1640/8000]	[MSE: 68.8664]	53.8+2.0s
[1680/8000]	[MSE: 68.5683]	53.9+2.0s
