Making model...
Preparing loss function:
1.000 * MSE
[Epoch 1]	Learning rate: 1.00e-4
[7152/16000]	[MSE: 131.8644]	3.3+0.1s
[7168/16000]	[MSE: 131.8042]	3.3+0.1s
[7184/16000]	[MSE: 131.6627]	3.3+0.1s
[7200/16000]	[MSE: 131.5387]	3.3+0.1s
[7216/16000]	[MSE: 131.5477]	3.3+0.1s
[7232/16000]	[MSE: 131.4609]	3.3+0.1s
[7248/16000]	[MSE: 131.4346]	3.3+0.1s
[7264/16000]	[MSE: 131.3540]	3.3+0.1s
[7280/16000]	[MSE: 131.1248]	3.3+0.1s
[7296/16000]	[MSE: 130.9401]	3.3+0.1s
[7312/16000]	[MSE: 130.8778]	3.3+0.1s
[7328/16000]	[MSE: 130.7572]	3.3+0.1s
[7344/16000]	[MSE: 130.6956]	3.3+0.1s
[7360/16000]	[MSE: 130.4973]	3.3+0.1s
[7376/16000]	[MSE: 130.3143]	3.3+0.1s
[7392/16000]	[MSE: 130.1617]	3.3+0.1s
[7408/16000]	[MSE: 130.0723]	3.3+0.1s
[7424/16000]	[MSE: 129.9062]	3.3+0.1s
[7440/16000]	[MSE: 129.7610]	3.3+0.1s
[7456/16000]	[MSE: 129.5969]	3.3+0.1s
[7472/16000]	[MSE: 129.4744]	3.3+0.1s
[7488/16000]	[MSE: 129.2956]	3.3+0.1s
[7504/16000]	[MSE: 129.1154]	3.3+0.1s
[7520/16000]	[MSE: 128.9384]	3.3+0.1s
[7536/16000]	[MSE: 128.8386]	3.3+0.1s
[7552/16000]	[MSE: 128.7160]	3.3+0.1s
[7568/16000]	[MSE: 128.5839]	3.3+0.1s
[7584/16000]	[MSE: 128.4441]	3.3+0.1s
[7600/16000]	[MSE: 128.3579]	3.3+0.1s
[7616/16000]	[MSE: 128.2301]	3.3+0.1s
