Making model...
Preparing loss function:
1.000 * MSE
[Epoch 1]	Learning rate: 1.00e-4
[640/16000]	[MSE: 64.0389]	32.7+0.8s
[800/16000]	[MSE: 63.1821]	32.7+0.8s
[960/16000]	[MSE: 62.2128]	32.7+0.8s
[1120/16000]	[MSE: 63.1954]	32.7+0.8s
[1280/16000]	[MSE: 62.3344]	32.7+0.8s
[1440/16000]	[MSE: 63.4399]	32.7+0.8s
[1600/16000]	[MSE: 62.6322]	32.7+0.8s
[1760/16000]	[MSE: 63.7748]	32.7+0.8s
[1920/16000]	[MSE: 62.9371]	32.7+0.8s
[2080/16000]	[MSE: 61.6499]	32.7+0.8s
[2240/16000]	[MSE: 61.9203]	32.7+0.8s
[2400/16000]	[MSE: 62.4767]	32.7+0.8s
[2560/16000]	[MSE: 62.0316]	32.7+0.8s
[2720/16000]	[MSE: 61.3322]	32.7+0.8s
[2880/16000]	[MSE: 60.7934]	32.7+0.8s
[3040/16000]	[MSE: 61.0843]	32.7+0.8s
[3200/16000]	[MSE: 61.3218]	32.7+0.8s
[3360/16000]	[MSE: 61.7879]	32.7+0.8s
[3520/16000]	[MSE: 62.0026]	32.7+0.8s
[3680/16000]	[MSE: 62.2175]	32.7+0.8s
[3840/16000]	[MSE: 62.1982]	32.7+0.8s
[4000/16000]	[MSE: 62.2420]	32.7+0.8s
[4160/16000]	[MSE: 62.2652]	32.7+0.8s
[4320/16000]	[MSE: 62.5298]	32.7+0.8s
[4480/16000]	[MSE: 62.2588]	32.7+0.8s
[4640/16000]	[MSE: 62.6912]	32.7+0.8s
[4800/16000]	[MSE: 62.4214]	32.7+0.8s
[4960/16000]	[MSE: 62.3178]	32.7+0.8s
[5120/16000]	[MSE: 62.1431]	32.7+0.8s
[5280/16000]	[MSE: 62.2117]	32.7+0.8s
[5440/16000]	[MSE: 62.1303]	32.7+0.8s
[5600/16000]	[MSE: 62.3601]	32.7+0.8s
[5760/16000]	[MSE: 62.2789]	32.7+0.8s
[5920/16000]	[MSE: 61.9551]	32.7+0.8s
[6080/16000]	[MSE: 61.7194]	32.7+0.8s
[6240/16000]	[MSE: 61.6177]	32.7+0.8s
[6400/16000]	[MSE: 61.6957]	32.7+0.8s
[6560/16000]	[MSE: 61.5838]	32.7+0.8s
[6720/16000]	[MSE: 61.7909]	32.7+0.8s
[6880/16000]	[MSE: 61.6867]	32.7+0.8s
[7040/16000]	[MSE: 61.7737]	32.7+0.8s
[7200/16000]	[MSE: 61.8387]	32.7+0.8s
[7360/16000]	[MSE: 61.6539]	32.7+0.8s
[7520/16000]	[MSE: 61.6637]	32.7+0.8s
[7680/16000]	[MSE: 61.7740]	32.7+0.8s
[7840/16000]	[MSE: 61.8544]	32.7+0.8s
[8000/16000]	[MSE: 61.9207]	32.7+0.8s
[8160/16000]	[MSE: 61.7938]	32.7+0.8s
[8320/16000]	[MSE: 61.6174]	32.7+0.8s
[8480/16000]	[MSE: 61.6932]	32.7+0.8s
[8640/16000]	[MSE: 61.6282]	32.7+0.8s
[8800/16000]	[MSE: 61.5558]	32.7+0.8s
[8960/16000]	[MSE: 61.5925]	32.7+0.8s
[9120/16000]	[MSE: 61.7100]	32.7+0.8s
[9280/16000]	[MSE: 61.7846]	32.7+0.8s
[9440/16000]	[MSE: 61.6205]	32.7+0.8s
[9600/16000]	[MSE: 61.5653]	32.7+0.8s
[9760/16000]	[MSE: 61.6771]	32.7+0.8s
[9920/16000]	[MSE: 61.5787]	32.7+0.8s
[10080/16000]	[MSE: 61.4586]	32.7+0.8s
[10240/16000]	[MSE: 61.4077]	32.7+0.8s
[10400/16000]	[MSE: 61.3873]	32.7+0.8s
[10560/16000]	[MSE: 61.5260]	32.7+0.8s
[10720/16000]	[MSE: 61.5649]	32.7+0.8s
[10880/16000]	[MSE: 61.6245]	32.7+0.8s
[11040/16000]	[MSE: 61.8633]	32.7+0.8s
[11200/16000]	[MSE: 61.9456]	32.7+0.8s
[11360/16000]	[MSE: 62.2468]	32.7+0.8s
[11520/16000]	[MSE: 62.2771]	32.7+0.8s
[11680/16000]	[MSE: 62.2761]	32.7+0.8s
[11840/16000]	[MSE: 62.3695]	32.7+0.8s
[12000/16000]	[MSE: 62.4275]	32.7+0.8s
[12160/16000]	[MSE: 62.4327]	32.7+0.8s
[12320/16000]	[MSE: 62.3490]	32.7+0.8s
[12480/16000]	[MSE: 62.3139]	32.7+0.8s
[12640/16000]	[MSE: 62.3860]	32.7+0.8s
[12800/16000]	[MSE: 62.3383]	32.7+0.8s
[12960/16000]	[MSE: 62.3563]	32.7+0.8s
[13120/16000]	[MSE: 62.3506]	32.7+0.8s
[13280/16000]	[MSE: 62.3573]	32.7+0.8s
[13440/16000]	[MSE: 62.2988]	32.7+0.8s
[13600/16000]	[MSE: 62.2808]	32.7+0.8s
[13760/16000]	[MSE: 62.4313]	32.7+0.8s
[13920/16000]	[MSE: 62.4090]	32.7+0.8s
[14080/16000]	[MSE: 62.4904]	32.7+0.8s
[14240/16000]	[MSE: 62.3543]	32.7+0.8s
[14400/16000]	[MSE: 62.4003]	32.7+0.8s
[14560/16000]	[MSE: 62.4904]	32.7+0.8s
[14720/16000]	[MSE: 62.5487]	32.7+0.8s
[14880/16000]	[MSE: 62.5375]	32.7+0.8s
[15040/16000]	[MSE: 62.3352]	32.7+0.8s
[15200/16000]	[MSE: 62.3349]	32.7+0.8s
[15360/16000]	[MSE: 62.3936]	32.7+0.8s
[15520/16000]	[MSE: 62.3125]	32.7+0.8s
[15680/16000]	[MSE: 62.2812]	32.7+0.8s
[15840/16000]	[MSE: 62.2368]	32.7+0.8s
[16000/16000]	[MSE: 62.1530]	32.7+0.8s

Evaluation:
 10%|████▍                                       | 1/10 [00:04<00:41,  4.63s/it] 20%|████████▊                                   | 2/10 [00:08<00:36,  4.53s/it] 30%|█████████████▏                              | 3/10 [00:13<00:32,  4.61s/it] 40%|█████████████████▌                          | 4/10 [00:17<00:26,  4.35s/it] 50%|██████████████████████                      | 5/10 [00:22<00:22,  4.48s/it] 60%|██████████████████████████▍                 | 6/10 [00:26<00:17,  4.42s/it] 70%|██████████████████████████████▊             | 7/10 [00:30<00:12,  4.16s/it] 80%|███████████████████████████████████▏        | 8/10 [00:34<00:08,  4.21s/it] 90%|███████████████████████████████████████▌    | 9/10 [00:38<00:04,  4.23s/it]100%|███████████████████████████████████████████| 10/10 [00:43<00:00,  4.40s/it][DIV2K x2]	PSNR: 34.454 (Best: 34.454 @epoch 3)
Forward: 43.49s

Saving...
Total: 49.15s

[Epoch 4]	Learning rate: 1.00e-4

  0%|                                                    | 0/10 [00:00<?, ?it/s][160/16000]	[MSE: 60.5676]	32.7+1.1s
[320/16000]	[MSE: 66.2036]	32.7+0.8s
[480/16000]	[MSE: 68.5094]	32.7+0.8s
[640/16000]	[MSE: 65.3420]	32.7+0.8s
[800/16000]	[MSE: 62.9561]	32.7+0.8s
[960/16000]	[MSE: 63.2714]	32.7+0.8s
[1120/16000]	[MSE: 62.0790]	32.7+0.8s
[1280/16000]	[MSE: 62.2043]	32.7+0.8s
[1440/16000]	[MSE: 60.7208]	32.7+0.8s
[1600/16000]	[MSE: 59.2038]	32.7+0.8s
[1760/16000]	[MSE: 58.3070]	32.7+0.8s
[1920/16000]	[MSE: 57.9253]	32.7+0.8s
[2080/16000]	[MSE: 58.9665]	32.7+0.8s
[2240/16000]	[MSE: 60.8194]	32.7+0.8s
[2400/16000]	[MSE: 60.9718]	32.7+0.8s
[2560/16000]	[MSE: 62.5248]	32.7+0.8s
[2720/16000]	[MSE: 62.6924]	32.7+0.8s
[2880/16000]	[MSE: 62.9714]	32.7+0.8s
[3040/16000]	[MSE: 62.3611]	32.7+0.8s
[3200/16000]	[MSE: 62.6696]	32.7+0.8s
[3360/16000]	[MSE: 62.1705]	32.7+0.8s
[3520/16000]	[MSE: 62.3758]	32.7+0.8s
[3680/16000]	[MSE: 61.8096]	32.7+0.8s
[3840/16000]	[MSE: 61.9321]	32.7+0.8s
[4000/16000]	[MSE: 61.9361]	32.7+0.8s
[4160/16000]	[MSE: 61.6500]	32.7+0.8s
[4320/16000]	[MSE: 61.5746]	32.7+0.8s
[4480/16000]	[MSE: 61.3963]	32.7+0.8s
[4640/16000]	[MSE: 61.4459]	32.7+0.8s
[4800/16000]	[MSE: 61.4113]	32.7+0.8s
[4960/16000]	[MSE: 61.7483]	32.7+0.8s
[5120/16000]	[MSE: 62.3015]	32.7+0.8s
[5280/16000]	[MSE: 62.3911]	32.7+0.8s
[5440/16000]	[MSE: 62.5850]	32.7+0.8s
[5600/16000]	[MSE: 62.6310]	32.7+0.8s
[5760/16000]	[MSE: 62.6844]	32.7+0.8s
[5920/16000]	[MSE: 63.4350]	32.7+0.8s
[6080/16000]	[MSE: 63.7543]	32.7+0.8s
[6240/16000]	[MSE: 64.0436]	32.7+0.8s
[6400/16000]	[MSE: 64.4345]	32.7+0.8s
[6560/16000]	[MSE: 64.6085]	32.7+0.8s
[6720/16000]	[MSE: 64.4349]	32.7+0.8s
[6880/16000]	[MSE: 64.4397]	32.7+0.8s
[7040/16000]	[MSE: 64.5078]	32.7+0.8s
[7200/16000]	[MSE: 64.7793]	32.7+0.8s
[7360/16000]	[MSE: 64.5878]	32.7+0.8s
[7520/16000]	[MSE: 64.5419]	32.7+0.8s
[7680/16000]	[MSE: 64.4381]	32.7+0.8s
[7840/16000]	[MSE: 64.4326]	32.7+0.8s
[8000/16000]	[MSE: 64.1375]	32.7+0.8s
[8160/16000]	[MSE: 63.9834]	32.7+0.8s
[8320/16000]	[MSE: 63.9541]	32.7+0.8s
[8480/16000]	[MSE: 64.0474]	32.7+0.8s
[8640/16000]	[MSE: 64.0532]	32.7+0.8s
[8800/16000]	[MSE: 63.9528]	32.7+0.8s
[8960/16000]	[MSE: 63.9497]	32.7+0.8s
[9120/16000]	[MSE: 63.7779]	32.7+0.8s
[9280/16000]	[MSE: 63.8854]	32.7+0.8s
[9440/16000]	[MSE: 63.7638]	32.7+0.8s
[9600/16000]	[MSE: 63.6992]	32.7+0.8s
[9760/16000]	[MSE: 63.7796]	32.7+0.8s
[9920/16000]	[MSE: 63.9960]	32.7+0.8s
[10080/16000]	[MSE: 63.7598]	32.7+0.8s
[10240/16000]	[MSE: 63.8280]	32.7+0.8s
[10400/16000]	[MSE: 63.8592]	32.7+0.8s
[10560/16000]	[MSE: 63.9248]	32.7+0.8s
[10720/16000]	[MSE: 63.7857]	32.7+0.8s
[10880/16000]	[MSE: 63.6562]	32.7+0.8s
[11040/16000]	[MSE: 63.4959]	32.7+0.8s
[11200/16000]	[MSE: 63.3770]	32.7+0.8s
[11360/16000]	[MSE: 63.3836]	32.7+0.8s
[11520/16000]	[MSE: 63.4691]	32.7+0.8s
[11680/16000]	[MSE: 63.3695]	32.7+0.8s
[11840/16000]	[MSE: 63.3069]	32.7+0.8s
[12000/16000]	[MSE: 63.2040]	32.7+0.8s
[12160/16000]	[MSE: 63.1419]	32.7+0.8s
[12320/16000]	[MSE: 63.1285]	32.7+0.8s
[12480/16000]	[MSE: 63.2232]	32.7+0.8s
[12640/16000]	[MSE: 63.3170]	32.7+0.8s
[12800/16000]	[MSE: 63.3100]	32.7+0.8s
[12960/16000]	[MSE: 63.2305]	32.7+0.8s
[13120/16000]	[MSE: 63.1010]	32.7+0.8s
[13280/16000]	[MSE: 62.9776]	32.7+0.8s
[13440/16000]	[MSE: 62.8958]	32.7+0.8s
[13600/16000]	[MSE: 62.7871]	32.7+0.8s
[13760/16000]	[MSE: 62.7904]	32.7+0.8s
[13920/16000]	[MSE: 62.8692]	32.7+0.8s
[14080/16000]	[MSE: 62.7824]	32.7+0.8s
[14240/16000]	[MSE: 62.7736]	32.7+0.8s
[14400/16000]	[MSE: 62.8841]	32.7+0.8s
[14560/16000]	[MSE: 62.9147]	32.7+0.8s
[14720/16000]	[MSE: 62.9496]	32.7+0.8s
[14880/16000]	[MSE: 62.9519]	32.7+0.8s
[15040/16000]	[MSE: 62.8857]	32.7+0.8s
[15200/16000]	[MSE: 62.7645]	32.7+0.8s
[15360/16000]	[MSE: 62.6673]	32.7+0.8s
[15520/16000]	[MSE: 62.5668]	32.7+0.8s
[15680/16000]	[MSE: 62.5152]	32.7+0.8s
[15840/16000]	[MSE: 62.4968]	32.7+0.8s
[16000/16000]	[MSE: 62.3762]	32.7+0.8s

Evaluation:
